Question,Answer
Can you help me find a flight to Paris?,Sure! Please provide your travel dates and departure city.
Show flights to Paris.,Sure! Please provide your travel dates and departure city.
I want to book a flight to Paris next week.,Sure! Please provide your travel dates and departure city.
Are there any cheap flights to Paris?,Sure! Please provide your travel dates and departure city.
"Flights to Paris, please.",Sure! Please provide your travel dates and departure city.
I need a hotel in Tokyo.,Absolutely. What are your check-in and check-out dates?
Book a hotel in Tokyo.,Absolutely. What are your check-in and check-out dates?
Find me a place to stay in Tokyo.,Absolutely. What are your check-in and check-out dates?
Can you help me reserve a hotel in Tokyo?,Absolutely. What are your check-in and check-out dates?
Where can I stay in Tokyo?,Absolutely. What are your check-in and check-out dates?
What's the status of my booking?,"Sure, please provide your booking reference number."
Can you check my reservation?,"Sure, please provide your booking reference number."
Did my flight get booked?,"Sure, please provide your booking reference number."
Is my hotel confirmed?,"Sure, please provide your booking reference number."
Confirm my travel plans.,"Sure, please provide your booking reference number."
Cancel my hotel booking.,Understood. Please provide your booking ID to proceed with the cancellation.
I want to cancel my flight.,Understood. Please provide your booking ID to proceed with the cancellation.
Can you cancel my trip?,Understood. Please provide your booking ID to proceed with the cancellation.
Delete my reservation.,Understood. Please provide your booking ID to proceed with the cancellation.
Cancel the booking I made.,Understood. Please provide your booking ID to proceed with the cancellation.
Where should I go on vacation?,"I'd be happy to help! Are you looking for beach, city, adventure, or nature destinations?"
Recommend a travel destination.,"I'd be happy to help! Are you looking for beach, city, adventure, or nature destinations?"
Suggest a good place to travel to.,"I'd be happy to help! Are you looking for beach, city, adventure, or nature destinations?"
Any vacation ideas?,"I'd be happy to help! Are you looking for beach, city, adventure, or nature destinations?"
What are the best travel spots right now?,"I'd be happy to help! Are you looking for beach, city, adventure, or nature destinations?"
